policy_id,vehicle_usage_type,cylinder,gross_weight,gear_box,fuel,torque,car_color,features,airbags,policy_age_months,population_density,transmission_type,manufacturer,rear_brakes,engine_type,height,car_age,policyholder_age,garage_type,region,width,annual_mileage_km,steering_type,driver_occupation,length,car_model,power,displacement,turning_radius,car_segment,safety_rating,claim
P4943,Work and Personal,3,1340,5,CNG,82.1Nm@3400rpm,Blue,"['parking_sensors', 'power_door_locks', 'central_locking', 'power_steering', 'ecw', 'speed_alert']",2,95,5410,Manual,1,Drum,K10C,1675,4 years and 2 months,37,Enclosed Parking,C13,1620,15000,Power,Retired,3655,M8,55.92bhp@5300rpm,998,4.7,B1,24,0
P4944,Work and Personal,3,1185,5,CNG,60Nm@3500rpm,Gray,"['parking_sensors', 'power_steering', 'speed_alert']",2,49,17804,Manual,1,Drum,F8D Petrol Engine,1475,1 years and 4 months,56,On Street,C9,1515,10000,Power,Self-Employed,3445,M1,40.36bhp@6000rpm,796,4.6,A,2,0
P4945,Rental,3,1340,5,CNG,82.1Nm@3400rpm,Silver,"['parking_sensors', 'power_door_locks', 'central_locking', 'power_steering', 'ecw', 'speed_alert']",2,19,65567,Manual,1,Drum,K10C,1675,1 years and 0 months,52,Driveway,C17,1620,25000,Power,Unemployed,3655,M8,55.92bhp@5300rpm,998,4.7,B1,20,0
P4946,Ride-sharing,4,1490,5,Diesel,200Nm@3000rpm,Red,"['adjustable_steering', 'parking_sensors', 'power_door_locks', 'central_locking', 'power_steering', 'ecw', 'speed_alert']",2,24,8794,Manual,4,Drum,1.5 Turbocharged Revotorq,1523,1 years and 4 months,55,Enclosed Parking,C8,1755,15000,Electric,Retired,3990,M5,88.77bhp@4000rpm,1497,5.0,B2,56,0
P4947,Work and Personal,4,1720,6,Diesel,250Nm@2750rpm,Unknown,"['esc', 'adjustable_steering', 'tpms', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_wiper', 'rear_washer', 'rear_defogger', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'ecw', 'speed_alert']",6,90,34738,Automatic,3,Disc,1.5 L U2 CRDi,1635,2 years and 1 months,34,Driveway,C5,1790,20000,Power,Retired,4300,M4,113.45bhp@4000rpm,1493,5.2,C2,38,0
P4948,Rental,3,1185,5,CNG,60Nm@3500rpm,Unknown,"['parking_sensors', 'power_steering', 'speed_alert']",2,59,27003,Manual,1,Drum,F8D Petrol Engine,1475,1 years and 9 months,32,Driveway,C2,1515,15000,Power,Student,3445,M1,40.36bhp@6000rpm,796,4.6,A,6,0
P4949,Work and Personal,4,1720,6,Diesel,250Nm@2750rpm,White,"['esc', 'adjustable_steering', 'tpms', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_wiper', 'rear_washer', 'rear_defogger', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'ecw', 'speed_alert']",6,54,6112,Automatic,3,Disc,1.5 L U2 CRDi,1635,8 months,27,On Street,C7,1790,15000,Power,Retired,4300,M4,113.45bhp@4000rpm,1493,5.2,C2,35,0
P4950,Ride-sharing,4,1335,5,Petrol,113Nm@4400rpm,White,"['adjustable_steering', 'parking_sensors', 'front_fog_lights', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'day_night_mirror', 'ecw', 'speed_alert']",2,11,27003,Manual,1,Drum,K Series Dual jet,1530,4 years and 10 months,35,Driveway,C2,1735,25000,Electric,Retired,3845,M6,88.50bhp@6000rpm,1197,4.8,B2,24,0
P4951,Commercial,3,1185,5,CNG,60Nm@3500rpm,Gray,"['parking_sensors', 'power_steering', 'speed_alert']",2,49,34738,Manual,1,Drum,F8D Petrol Engine,1475,0 months,40,On Street,C5,1515,20000,Power,Self-Employed,3445,M1,40.36bhp@6000rpm,796,4.6,A,4,0
P4952,Work and Personal,4,1335,5,Petrol,113Nm@4400rpm,Silver,"['adjustable_steering', 'parking_sensors', 'front_fog_lights', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'day_night_mirror', 'ecw', 'speed_alert']",2,89,5410,Manual,1,Drum,K Series Dual jet,1530,3 years and 6 months,23,Driveway,C13,1735,15000,Electric,Retired,3845,M6,88.50bhp@6000rpm,1197,4.8,B2,29,0
P4953,Personal,4,1720,6,Diesel,250Nm@2750rpm,Blue,"['esc', 'adjustable_steering', 'tpms', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_wiper', 'rear_washer', 'rear_defogger', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'ecw', 'speed_alert']",6,94,34738,Automatic,3,Disc,1.5 L U2 CRDi,1635,4 years and 2 months,70,On Street,C5,1790,15000,Power,Unemployed,4300,M4,113.45bhp@4000rpm,1493,5.2,C2,30,0
P4954,Work and Personal,4,1720,6,Diesel,250Nm@2750rpm,Silver,"['esc', 'adjustable_steering', 'tpms', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_wiper', 'rear_washer', 'rear_defogger', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'ecw', 'speed_alert']",6,85,8794,Automatic,3,Disc,1.5 L U2 CRDi,1635,2 years and 1 months,40,On Street,C8,1790,20000,Power,Retired,4300,M4,113.45bhp@4000rpm,1493,5.2,C2,35,0
P4955,Ride-sharing,4,1720,6,Diesel,250Nm@2750rpm,Blue,"['esc', 'adjustable_steering', 'tpms', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_wiper', 'rear_washer', 'rear_defogger', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'ecw', 'speed_alert']",6,92,8794,Automatic,3,Disc,1.5 L U2 CRDi,1635,2 years and 9 months,42,Driveway,C8,1790,5000,Power,Retired,4300,M4,113.45bhp@4000rpm,1493,5.2,C2,37,0
P4956,Commercial,4,1720,6,Diesel,250Nm@2750rpm,Other,"['esc', 'adjustable_steering', 'tpms', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_wiper', 'rear_washer', 'rear_defogger', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'ecw', 'speed_alert']",6,85,8794,Automatic,3,Disc,1.5 L U2 CRDi,1635,4 years and 10 months,27,Covered,C8,1790,5000,Power,Retired,4300,M4,113.45bhp@4000rpm,1493,5.2,C2,31,0
P4957,Ride-sharing,3,1155,5,Petrol,91Nm@4250rpm,Gray,"['parking_camera', 'power_door_locks', 'central_locking', 'power_steering', 'day_night_mirror', 'ecw', 'speed_alert']",2,58,6108,Automatic,2,Drum,1.0 SCe,1490,1 years and 9 months,33,On Street,C11,1579,20000,Electric,Retired,3731,M3,67.06bhp@5500rpm,999,5.0,A,24,0
P4958,Rental,3,1185,5,CNG,60Nm@3500rpm,Other,"['parking_sensors', 'power_steering', 'speed_alert']",2,41,73430,Manual,1,Drum,F8D Petrol Engine,1475,0 months,27,Enclosed Parking,C10,1515,5000,Power,Professional,3445,M1,40.36bhp@6000rpm,796,4.6,A,7,0
P4959,Personal,4,1490,5,Diesel,200Nm@3000rpm,Silver,"['adjustable_steering', 'parking_sensors', 'power_door_locks', 'central_locking', 'power_steering', 'ecw', 'speed_alert']",2,7,27003,Manual,4,Drum,1.5 Turbocharged Revotorq,1523,1 years and 4 months,31,Covered,C2,1755,20000,Electric,Student,3990,M5,88.77bhp@4000rpm,1497,5.0,B2,60,0
P4960,Commercial,4,1335,5,Petrol,113Nm@4400rpm,Silver,"['adjustable_steering', 'parking_sensors', 'front_fog_lights', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'day_night_mirror', 'ecw', 'speed_alert']",2,23,27742,Manual,1,Drum,K Series Dual jet,1530,8 months,53,Enclosed Parking,C19,1735,15000,Electric,Self-Employed,3845,M6,88.50bhp@6000rpm,1197,4.8,B2,26,0
P4961,Work and Personal,4,1410,5,Petrol,113Nm@4400rpm,Unknown,"['esc', 'adjustable_steering', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_wiper', 'rear_washer', 'rear_defogger', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'day_night_mirror', 'ecw', 'speed_alert']",6,85,27003,Automatic,1,Drum,1.2 L K Series Engine,1500,3 years and 6 months,26,Covered,C2,1745,5000,Electric,Student,3990,M7,88.50bhp@6000rpm,1197,4.85,B2,5,0
P4962,Commercial,4,1510,5,CNG,85Nm@3000rpm,Red,"['parking_sensors', 'speed_alert']",1,17,27003,Manual,1,Drum,G12B,1825,2 years and 5 months,32,Covered,C2,1475,5000,Manual,Unemployed,3675,M10,61.68bhp@6000rpm,1196,4.5,Utility,1,0
P4963,Ride-sharing,4,1410,5,Petrol,113Nm@4400rpm,Blue,"['esc', 'adjustable_steering', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_wiper', 'rear_washer', 'rear_defogger', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'day_night_mirror', 'ecw', 'speed_alert']",6,1,4076,Automatic,1,Drum,1.2 L K Series Engine,1500,4 years and 10 months,33,Covered,C3,1745,5000,Electric,Student,3990,M7,88.50bhp@6000rpm,1197,4.85,B2,0,0
P4964,Ride-sharing,3,1185,5,CNG,60Nm@3500rpm,Other,"['parking_sensors', 'power_steering', 'speed_alert']",2,56,27003,Manual,1,Drum,F8D Petrol Engine,1475,8 months,30,Covered,C2,1515,20000,Power,Student,3445,M1,40.36bhp@6000rpm,796,4.6,A,9,0
P4965,Personal,4,1335,5,Petrol,113Nm@4400rpm,Black,"['adjustable_steering', 'parking_sensors', 'front_fog_lights', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'day_night_mirror', 'ecw', 'speed_alert']",2,15,27003,Manual,1,Drum,K Series Dual jet,1530,4 years and 10 months,30,On Street,C2,1735,25000,Electric,Unemployed,3845,M6,88.50bhp@6000rpm,1197,4.8,B2,22,0
P4966,Commercial,3,1185,5,CNG,60Nm@3500rpm,Silver,"['parking_sensors', 'power_steering', 'speed_alert']",2,89,34738,Manual,1,Drum,F8D Petrol Engine,1475,1 years and 0 months,50,Driveway,C5,1515,15000,Power,Unemployed,3445,M1,40.36bhp@6000rpm,796,4.6,A,0,0
P4967,Ride-sharing,4,1720,6,Diesel,250Nm@2750rpm,Blue,"['esc', 'adjustable_steering', 'tpms', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_wiper', 'rear_washer', 'rear_defogger', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'ecw', 'speed_alert']",6,14,34738,Automatic,3,Disc,1.5 L U2 CRDi,1635,6 years and 7 months,35,On Street,C5,1790,10000,Power,Student,4300,M4,113.45bhp@4000rpm,1493,5.2,C2,34,0
P4968,Rental,4,1410,5,Petrol,113Nm@4400rpm,Black,"['esc', 'adjustable_steering', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_wiper', 'rear_washer', 'rear_defogger', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'day_night_mirror', 'ecw', 'speed_alert']",6,14,8794,Automatic,1,Drum,1.2 L K Series Engine,1500,8 months,30,On Street,C8,1745,10000,Electric,Retired,3990,M7,88.50bhp@6000rpm,1197,4.85,B2,4,0
P4969,Ride-sharing,3,1185,5,CNG,60Nm@3500rpm,Black,"['parking_sensors', 'power_steering', 'speed_alert']",2,37,4076,Manual,1,Drum,F8D Petrol Engine,1475,1 years and 4 months,31,Driveway,C3,1515,20000,Power,Unemployed,3445,M1,40.36bhp@6000rpm,796,4.6,A,10,0
P4970,Ride-sharing,4,1490,5,Diesel,200Nm@3000rpm,Black,"['adjustable_steering', 'parking_sensors', 'power_door_locks', 'central_locking', 'power_steering', 'ecw', 'speed_alert']",2,42,8794,Manual,4,Drum,1.5 Turbocharged Revotorq,1523,4 years and 10 months,49,Covered,C8,1755,25000,Electric,Retired,3990,M5,88.77bhp@4000rpm,1497,5.0,B2,60,0
P4971,Work and Personal,3,1340,5,CNG,82.1Nm@3400rpm,Red,"['parking_sensors', 'power_door_locks', 'central_locking', 'power_steering', 'ecw', 'speed_alert']",2,17,73430,Manual,1,Drum,K10C,1675,2 years and 1 months,40,Covered,C10,1620,10000,Power,Self-Employed,3655,M8,55.92bhp@5300rpm,998,4.7,B1,28,0
P4972,Ride-sharing,3,1185,5,CNG,60Nm@3500rpm,White,"['parking_sensors', 'power_steering', 'speed_alert']",2,47,35036,Manual,1,Drum,F8D Petrol Engine,1475,0 months,30,Enclosed Parking,C18,1515,10000,Power,Unemployed,3445,M1,40.36bhp@6000rpm,796,4.6,A,3,0
P4973,Personal,4,1490,5,Diesel,200Nm@3000rpm,Gray,"['adjustable_steering', 'parking_sensors', 'power_door_locks', 'central_locking', 'power_steering', 'ecw', 'speed_alert']",2,7,73430,Manual,4,Drum,1.5 Turbocharged Revotorq,1523,2 years and 1 months,40,Driveway,C10,1755,25000,Electric,Retired,3990,M5,88.77bhp@4000rpm,1497,5.0,B2,60,0
P4974,Personal,3,1185,5,CNG,60Nm@3500rpm,Red,"['parking_sensors', 'power_steering', 'speed_alert']",2,27,4076,Manual,1,Drum,F8D Petrol Engine,1475,8 months,33,Driveway,C3,1515,5000,Power,Student,3445,M1,40.36bhp@6000rpm,796,4.6,A,8,0
P4975,Rental,4,1720,6,Diesel,250Nm@2750rpm,Silver,"['esc', 'adjustable_steering', 'tpms', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_wiper', 'rear_washer', 'rear_defogger', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'ecw', 'speed_alert']",6,98,8794,Automatic,3,Disc,1.5 L U2 CRDi,1635,3 years and 1 months,35,Driveway,C8,1790,20000,Power,Student,4300,M4,113.45bhp@4000rpm,1493,5.2,C2,35,0
P4976,Personal,4,1720,6,Diesel,250Nm@2750rpm,Other,"['esc', 'adjustable_steering', 'tpms', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_wiper', 'rear_washer', 'rear_defogger', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'ecw', 'speed_alert']",6,89,8794,Automatic,3,Disc,1.5 L U2 CRDi,1635,3 years and 6 months,50,Enclosed Parking,C8,1790,5000,Power,Retired,4300,M4,113.45bhp@4000rpm,1493,5.2,C2,30,0
P4977,Rental,3,1340,5,CNG,82.1Nm@3400rpm,Gray,"['parking_sensors', 'power_door_locks', 'central_locking', 'power_steering', 'ecw', 'speed_alert']",2,89,6112,Manual,1,Drum,K10C,1675,2 years and 9 months,32,Enclosed Parking,C7,1620,5000,Power,Self-Employed,3655,M8,55.92bhp@5300rpm,998,4.7,B1,21,1
P4978,Personal,3,1185,5,CNG,60Nm@3500rpm,Blue,"['parking_sensors', 'power_steering', 'speed_alert']",2,67,5410,Manual,1,Drum,F8D Petrol Engine,1475,4 months,38,Covered,C13,1515,10000,Power,Student,3445,M1,40.36bhp@6000rpm,796,4.6,A,3,0
P4979,Rental,4,1490,5,Diesel,200Nm@3000rpm,White,"['adjustable_steering', 'parking_sensors', 'power_door_locks', 'central_locking', 'power_steering', 'ecw', 'speed_alert']",2,65,27742,Manual,4,Drum,1.5 Turbocharged Revotorq,1523,4 years and 10 months,50,Covered,C19,1755,5000,Electric,Professional,3990,M5,88.77bhp@4000rpm,1497,5.0,B2,52,0
P4980,Commercial,4,1335,5,Petrol,113Nm@4400rpm,Unknown,"['adjustable_steering', 'parking_sensors', 'front_fog_lights', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'day_night_mirror', 'ecw', 'speed_alert']",2,53,73430,Manual,1,Drum,K Series Dual jet,1530,2 years and 1 months,23,Enclosed Parking,C10,1735,20000,Electric,Professional,3845,M6,88.50bhp@6000rpm,1197,4.8,B2,26,0
P4981,Rental,4,1720,6,Diesel,250Nm@2750rpm,Silver,"['esc', 'adjustable_steering', 'tpms', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_wiper', 'rear_washer', 'rear_defogger', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'ecw', 'speed_alert']",6,98,8794,Automatic,3,Disc,1.5 L U2 CRDi,1635,4 years and 6 months,33,Covered,C8,1790,5000,Power,Retired,4300,M4,113.45bhp@4000rpm,1493,5.2,C2,36,1
P4982,Ride-sharing,4,1720,6,Diesel,250Nm@2750rpm,Gray,"['esc', 'adjustable_steering', 'tpms', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_wiper', 'rear_washer', 'rear_defogger', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'ecw', 'speed_alert']",6,98,8794,Automatic,3,Disc,1.5 L U2 CRDi,1635,3 years and 10 months,43,Enclosed Parking,C8,1790,25000,Power,Professional,4300,M4,113.45bhp@4000rpm,1493,5.2,C2,35,0
P4983,Ride-sharing,4,1720,6,Diesel,250Nm@2750rpm,Other,"['esc', 'adjustable_steering', 'tpms', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_wiper', 'rear_washer', 'rear_defogger', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'ecw', 'speed_alert']",6,93,8794,Automatic,3,Disc,1.5 L U2 CRDi,1635,2 years and 1 months,25,Driveway,C8,1790,15000,Power,Unemployed,4300,M4,113.45bhp@4000rpm,1493,5.2,C2,33,0
P4984,Personal,4,1720,6,Diesel,250Nm@2750rpm,Blue,"['esc', 'adjustable_steering', 'tpms', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_wiper', 'rear_washer', 'rear_defogger', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'ecw', 'speed_alert']",6,73,7788,Automatic,3,Disc,1.5 L U2 CRDi,1635,8 months,48,Enclosed Parking,C14,1790,25000,Power,Self-Employed,4300,M4,113.45bhp@4000rpm,1493,5.2,C2,36,1
P4985,Ride-sharing,4,1335,5,Petrol,113Nm@4400rpm,Gray,"['adjustable_steering', 'parking_sensors', 'front_fog_lights', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'day_night_mirror', 'ecw', 'speed_alert']",2,6,5410,Manual,1,Drum,K Series Dual jet,1530,0 months,26,Driveway,C13,1735,20000,Electric,Unemployed,3845,M6,88.50bhp@6000rpm,1197,4.8,B2,24,0
P4986,Commercial,3,1185,5,CNG,60Nm@3500rpm,Red,"['parking_sensors', 'power_steering', 'speed_alert']",2,54,34738,Manual,1,Drum,F8D Petrol Engine,1475,8 months,25,On Street,C5,1515,10000,Power,Student,3445,M1,40.36bhp@6000rpm,796,4.6,A,9,0
P4987,Rental,3,1185,5,CNG,60Nm@3500rpm,Silver,"['parking_sensors', 'power_steering', 'speed_alert']",2,72,27003,Manual,1,Drum,F8D Petrol Engine,1475,4 months,30,Enclosed Parking,C2,1515,15000,Power,Retired,3445,M1,40.36bhp@6000rpm,796,4.6,A,5,0
P4988,Ride-sharing,4,1720,6,Diesel,250Nm@2750rpm,Blue,"['esc', 'adjustable_steering', 'tpms', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_wiper', 'rear_washer', 'rear_defogger', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'ecw', 'speed_alert']",6,97,8794,Automatic,3,Disc,1.5 L U2 CRDi,1635,3 years and 10 months,36,Covered,C8,1790,5000,Power,Unemployed,4300,M4,113.45bhp@4000rpm,1493,5.2,C2,30,0
P4989,Rental,3,1185,5,CNG,60Nm@3500rpm,Gray,"['parking_sensors', 'power_steering', 'speed_alert']",2,20,27742,Manual,1,Drum,F8D Petrol Engine,1475,4 months,39,Enclosed Parking,C19,1515,10000,Power,Unemployed,3445,M1,40.36bhp@6000rpm,796,4.6,A,0,0
P4990,Rental,4,1490,5,Diesel,200Nm@3000rpm,Unknown,"['adjustable_steering', 'parking_sensors', 'power_door_locks', 'central_locking', 'power_steering', 'ecw', 'speed_alert']",2,93,8794,Manual,4,Drum,1.5 Turbocharged Revotorq,1523,6 years and 7 months,47,On Street,C8,1755,10000,Electric,Self-Employed,3990,M5,88.77bhp@4000rpm,1497,5.0,B2,58,1
P4991,Work and Personal,4,1720,6,Diesel,250Nm@2750rpm,Blue,"['esc', 'adjustable_steering', 'tpms', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_wiper', 'rear_washer', 'rear_defogger', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'ecw', 'speed_alert']",6,92,5410,Automatic,3,Disc,1.5 L U2 CRDi,1635,6 years and 7 months,44,Enclosed Parking,C13,1790,20000,Power,Retired,4300,M4,113.45bhp@4000rpm,1493,5.2,C2,33,0
P4992,Ride-sharing,4,1410,5,Petrol,113Nm@4400rpm,Silver,"['esc', 'adjustable_steering', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_wiper', 'rear_washer', 'rear_defogger', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'day_night_mirror', 'ecw', 'speed_alert']",6,0,7788,Automatic,1,Drum,1.2 L K Series Engine,1500,2 years and 9 months,26,Enclosed Parking,C14,1745,5000,Electric,Student,3990,M7,88.50bhp@6000rpm,1197,4.85,B2,3,0
P4993,Ride-sharing,4,1335,5,Petrol,113Nm@4400rpm,Blue,"['adjustable_steering', 'parking_sensors', 'front_fog_lights', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'day_night_mirror', 'ecw', 'speed_alert']",2,86,34738,Manual,1,Drum,K Series Dual jet,1530,4 years and 2 months,34,On Street,C5,1735,20000,Electric,Student,3845,M6,88.50bhp@6000rpm,1197,4.8,B2,25,0
P4994,Work and Personal,4,1720,6,Diesel,250Nm@2750rpm,White,"['esc', 'adjustable_steering', 'tpms', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_wiper', 'rear_washer', 'rear_defogger', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'ecw', 'speed_alert']",6,43,27003,Automatic,3,Disc,1.5 L U2 CRDi,1635,8 years and 4 months,52,Covered,C2,1790,5000,Power,Professional,4300,M4,113.45bhp@4000rpm,1493,5.2,C2,30,0
P4995,Rental,3,1340,5,CNG,82.1Nm@3400rpm,Blue,"['parking_sensors', 'power_door_locks', 'central_locking', 'power_steering', 'ecw', 'speed_alert']",2,51,34791,Manual,1,Drum,K10C,1675,1 years and 9 months,28,Driveway,C12,1620,20000,Power,Student,3655,M8,55.92bhp@5300rpm,998,4.7,B1,24,0
P4996,Ride-sharing,4,1720,6,Diesel,250Nm@2750rpm,Unknown,"['esc', 'adjustable_steering', 'tpms', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_wiper', 'rear_washer', 'rear_defogger', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'ecw', 'speed_alert']",6,88,7788,Automatic,3,Disc,1.5 L U2 CRDi,1635,4 years and 2 months,46,On Street,C14,1790,25000,Power,Self-Employed,4300,M4,113.45bhp@4000rpm,1493,5.2,C2,34,0
P4997,Ride-sharing,4,1335,5,Petrol,113Nm@4400rpm,Black,"['esc', 'adjustable_steering', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_defogger', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'day_night_mirror', 'ecw', 'speed_alert']",2,28,7788,Automatic,1,Drum,1.2 L K12N Dualjet,1515,1 years and 4 months,31,On Street,C14,1735,15000,Electric,Professional,3995,M2,88.50bhp@6000rpm,1197,4.8,C1,23,0
P4998,Rental,4,1720,6,Diesel,250Nm@2750rpm,Red,"['esc', 'adjustable_steering', 'tpms', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_wiper', 'rear_washer', 'rear_defogger', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'ecw', 'speed_alert']",6,86,7788,Automatic,3,Disc,1.5 L U2 CRDi,1635,4 years and 2 months,29,Covered,C14,1790,5000,Power,Self-Employed,4300,M4,113.45bhp@4000rpm,1493,5.2,C2,37,0
P4999,Work and Personal,3,1185,5,CNG,60Nm@3500rpm,White,"['parking_sensors', 'power_steering', 'speed_alert']",2,66,4076,Manual,1,Drum,F8D Petrol Engine,1475,4 months,25,Covered,C3,1515,5000,Power,Professional,3445,M1,40.36bhp@6000rpm,796,4.6,A,2,0
P5000,Work and Personal,4,1410,5,Petrol,113Nm@4400rpm,Gray,"['esc', 'adjustable_steering', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_wiper', 'rear_washer', 'rear_defogger', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'day_night_mirror', 'ecw', 'speed_alert']",6,6,27003,Automatic,1,Drum,1.2 L K Series Engine,1500,0 months,36,On Street,C2,1745,25000,Electric,Self-Employed,3990,M7,88.50bhp@6000rpm,1197,4.85,B2,1,0
P5001,Personal,4,1720,6,Diesel,250Nm@2750rpm,Black,"['esc', 'adjustable_steering', 'tpms', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_wiper', 'rear_washer', 'rear_defogger', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'ecw', 'speed_alert']",6,91,34791,Automatic,3,Disc,1.5 L U2 CRDi,1635,4 years and 10 months,43,Enclosed Parking,C12,1790,25000,Power,Professional,4300,M4,113.45bhp@4000rpm,1493,5.2,C2,35,0
P5002,Commercial,4,1720,6,Diesel,250Nm@2750rpm,Black,"['esc', 'adjustable_steering', 'tpms', 'parking_sensors', 'parking_camera', 'front_fog_lights', 'rear_wiper', 'rear_washer', 'rear_defogger', 'brake_assist', 'power_door_locks', 'central_locking', 'power_steering', 'driver_seat_adjustable', 'ecw', 'speed_alert']",6,99,5410,Automatic,3,Disc,1.5 L U2 CRDi,1635,5 years and 3 months,30,Enclosed Parking,C13,1790,20000,Power,Professional,4300,M4,113.45bhp@4000rpm,1493,5.2,C2,30,0
P5003,Work and Personal,3,1185,5,CNG,60Nm@3500rpm,Red,"['parking_sensors', 'power_steering', 'speed_alert']",2,69,27003,Manual,1,Drum,F8D Petrol Engine,1475,8 months,38,Enclosed Parking,C2,1515,5000,Power,Unemployed,3445,M1,40.36bhp@6000rpm,796,4.6,A,6,0
P5004,Personal,3,1185,5,CNG,60Nm@3500rpm,Gray,"['parking_sensors', 'power_steering', 'speed_alert']",2,75,6112,Manual,1,Drum,F8D Petrol Engine,1475,8 months,37,On Street,C7,1515,25000,Power,Unemployed,3445,M1,40.36bhp@6000rpm,796,4.6,A,8,0
P5005,Work and Personal,3,1185,5,CNG,60Nm@3500rpm,Red,"['parking_sensors', 'power_steering', 'speed_alert']",2,36,4076,Manual,1,Drum,F8D Petrol Engine,1475,1 years and 4 months,46,Driveway,C3,1515,20000,Power,Unemployed,3445,M1,40.36bhp@6000rpm,796,4.6,A,3,0
